OrderId,Word,TagH1,TagH2,TagH3,TagH4,TagH5,TagH6,TagA,Link,NoFollowLink,TagAreaAlt,TagHidden,TagImageAlt,TagButton,TagMetaDescription,TagMetaKeywords,TagTitle,TagSmall,TagStrike,TagSub,TagSup,TagB,TagBig,TagEm,TagI,TagStrong,TagU,TagOption,Lang,Country,Domain_ID,Host_ID,PunctuationMarkBefore,PunctuationMarkAfter,FirstLetterUppercase,AllInUpperCase,TagDel,TagDfn,TagIns,TagMark,TagOptGroup
0,this,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
1,is,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
2,the,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
3,metadescription,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
4,sample,False,False,False,False,False,False,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
5,page,False,False,False,False,False,False,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,,False,False,False,False,False,False,False
6,meta,False,False,False,False,False,False,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
7,keywords,False,False,False,False,False,False,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,,False,False,False,False,False,False,False
8,lorum,False,False,False,False,False,False,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
9,ipsum,False,False,False,False,False,False,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
10,Simple,False,False,False,False,False,False,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,False,False,False,False,False,False
11,manipulation,False,False,False,False,False,False,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,.,False,False,False,False,False,False,False
12,Hello,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,False,False,False,False,False,False
13,World,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,!,True,False,False,False,False,False,False
14,Hello,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,False,False,False,False,False,False
15,World,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,!,True,False,False,False,False,False,False
16,HTML,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,True,False,False,False,False,False
17,HTML,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,True,False,True,False,False,False
18,Header1,True,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,False,False,False,False,False,False
19,Header2,False,True,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,False,False,False,False,False,False
20,Header3,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,False,False,False,False,False,False
21,der,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
22,Header4,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,False,False,False,False,False,False
23,Header5,False,False,False,False,True,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,False,False,False,False,False,False
24,Header,False,False,False,False,False,True,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,False,False,False,False,False,False
25,6,False,False,False,False,False,True,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
26,Emphasized,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,en,gb,1,1,,,True,False,False,False,False,False,False
27,TEXT,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,en,gb,1,1,,,True,True,False,False,False,False,False
28,Swedish,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,False,False,False,False,False,True
29,Cars,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,False,False,False,False,False,True
30,Volvo,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,en,gb,1,1,,,True,False,False,False,False,False,False
31,Saab,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,en,gb,1,1,,,True,False,False,False,False,False,False
32,worldwide,False,False,False,False,False,False,,UserFiles/Uploads/worldwide.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
33,hidden,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
34,text,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
35,sit,False,False,False,False,False,False,True,https://www.ipower.eu,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
36,smalltext,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
37,strongtext,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
38,boldtext,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
39,linktext,False,False,False,False,False,False,True,https://www.ipower.eu,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
40,in,False,False,False,False,False,False,True,https://www.ipower.eu,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
41,bold,False,False,False,False,False,False,True,https://www.ipower.eu,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
42,bold,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
43,marked,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,True,False
44,text,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,True,False
45,text,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
46,in,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
47,big,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
48,ante,False,False,False,False,False,False,True,#,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
49,at,False,False,False,False,False,False,True,#,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
50,diam,False,False,False,False,False,False,True,#,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
51,italic,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
52,word,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
53,Click,False,False,False,False,False,False,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,False,False,False,False,False,False
54,me,False,False,False,False,False,False,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,!,False,False,False,False,False,False,False
55,ï¿½this,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
56,text,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
57,is,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
58,striked,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
59,is,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
60,blue,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,True,False,False,False,False
61,red,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,True,False,False
62,subscript,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
63,subscript,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
64,superscript,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
65,superscript,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
66,Planets,False,False,False,False,False,False,,http://blog.keyboost.fr/wp-content/uploads/2018/08/GoogleAdds_RazendSnelAchterond-2.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,False,False,False,False,False,False
67,Mercury,False,False,False,False,False,False,,ipower.be,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,False,False,False,False,False,False
68,Venus,False,False,False,False,False,False,,https://wikipedia.com,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,False,False,False,False,False,False
69,Mars,False,False,False,False,False,False,,https://mars.com,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,False,False,False,False,False,False
